label	run_name	category	task	metric_name	metric_value	protocol_comparable
Persistence baseline	persistence_light_v1_test	baseline	advection1d	task_advection1d_decoded_rollout_nrmse	0.8086701258529039	true
Persistence baseline	persistence_light_v1_test	baseline	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.174468797996984	true
Persistence baseline	persistence_light_v1_test	baseline	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.2090955214627207	true
Fourier baseline	physical_fourier_light_test_strong_baseline	local neural baseline	advection1d	task_advection1d_decoded_rollout_nrmse	0.8005806466136989	true
Fourier baseline	physical_fourier_light_test_strong_baseline	local neural baseline	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.1740273130732859	true
Fourier baseline	physical_fourier_light_test_strong_baseline	local neural baseline	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.1519020898144076	true
FNO	external_neuraloperator_fno_test_light_v1_e3	external matched baseline	advection1d	task_advection1d_decoded_rollout_nrmse	0.8361653113266109	true
FNO	external_neuraloperator_fno_test_light_v1_e3	external matched baseline	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.3494026941038894	true
FNO	external_neuraloperator_fno_test_light_v1_e3	external matched baseline	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.61749915638842	true
UNO	external_neuraloperator_uno_test_light_v1_e3	external matched baseline	advection1d	task_advection1d_decoded_rollout_nrmse	0.7832092991802627	true
UNO	external_neuraloperator_uno_test_light_v1_e3	external matched baseline	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.1916109805359859	true
UNO	external_neuraloperator_uno_test_light_v1_e3	external matched baseline	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.2195023373371189	true
U-Net	external_pdebench_unet_test_light_v1_e3	external matched baseline	advection1d	task_advection1d_decoded_rollout_nrmse	0.8064919999936634	true
U-Net	external_pdebench_unet_test_light_v1_e3	external matched baseline	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.334172401575049	true
U-Net	external_pdebench_unet_test_light_v1_e3	external matched baseline	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.4677262360003178	true
CNO1d	external_cno1d_test_light_v1_e3	external matched baseline	advection1d	task_advection1d_decoded_rollout_nrmse	0.8083895641052449	true
CNO1d	external_cno1d_test_light_v1_e3	external matched baseline	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.2038390715234114	true
CNO1d	external_cno1d_test_light_v1_e3	external matched baseline	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.6373976431871128	true
UPS primary	ups_light_shared_context_transport_guarded	ups primary	advection1d	task_advection1d_decoded_rollout_nrmse	0.5765863333379032	true
UPS primary	ups_light_shared_context_transport_guarded	ups primary	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.1744685701779518	true
UPS primary	ups_light_shared_context_transport_guarded	ups primary	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.2090955306225815	true
CT1 scoped UPS	ups_light_advection_context_transport_only_ct1_guarded	ups scoped variant	advection1d	task_advection1d_decoded_rollout_nrmse	0.2250863122791403	false
Data-conditioned scoped UPS	ups_light_advection_data_conditioned_context_phase_guarded	ups scoped variant	advection1d	task_advection1d_decoded_rollout_nrmse	0.18345021264323	false
CT1 scoped UPS	ups_light_advection_context_transport_only_ct1_guarded	ups scoped variant	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.1744687989682174	false
Data-conditioned scoped UPS	ups_light_advection_data_conditioned_context_phase_guarded	ups scoped variant	burgers1d	task_burgers1d_decoded_rollout_nrmse	0.1744687989682174	false
CT1 scoped UPS	ups_light_advection_context_transport_only_ct1_guarded	ups scoped variant	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.2090955306225815	false
Data-conditioned scoped UPS	ups_light_advection_data_conditioned_context_phase_guarded	ups scoped variant	darcy2d	task_darcy2d_decoded_rollout_nrmse	0.2090955306225815	false
